"individual","assessment","group","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9","max_length","PC1","PC2","pc1","pc2","assessment_stage"
"Iovita (29)","11","boxgrove",0.859785220000169,1.24875323333644,1.61910239864097,1.87589502545492,2.14374835406989,2.06189916074226,1.87958192605526,1.73431804240171,1.24690978303627,0.323156837620132,0.475057142354296,0.551191639751395,0.646129330210247,0.758211108460698,0.710834435746281,0.680417505793444,0.623270546488116,0.478928387984657,2.85181761436591,0.0558487744943973,-0.173798704479244,-0.517250724860138,-1.51771209901349,"Boxgrove"
"Iovita (30)","11","boxgrove",0.869668396727799,1.22174949193066,1.47223271790609,1.73219685103293,1.87277178299392,2.00398285603993,2.06063420247549,1.97319916985696,1.58811047197884,0.555042737184822,0.656406509939367,0.680518446645414,0.651607532245445,0.675719468951492,0.684146941974965,0.584070699821227,0.444081009042432,0.234096472874239,3.35811390338096,-0.314586261373138,0.297125932210539,-0.889189564857045,-0.786807346096154,"Boxgrove"
"Iovita (31)","11","boxgrove",1.30172634360817,1.45661113936792,1.63359624206981,1.67049096936163,1.7313124752437,1.74062748064907,1.68893833300755,1.57460120783585,1.15414743444087,0.440544961524192,0.683465690722855,0.804012819498132,0.779538099413454,0.749401317219635,0.813510472068305,0.63268977890539,0.419905831900546,0.259906915526088,2.63011917327876,0.404080086120442,-0.537092163018059,0.426245168840585,2.77392949152997,"Boxgrove"
"Iovita (32)","11","boxgrove",1.17202399906147,1.45045935939214,1.64813340214042,1.78265835151366,1.8692131639011,1.8341045853825,1.83642198330452,1.60016326515461,1.17909206272363,0.410874651574095,0.580508179465938,0.635546380113906,0.723839240942857,0.790812040889227,0.73588971013736,0.568573580167536,0.492099448740886,0.303463257888481,3.10878931238944,0.00722751883107884,-0.215340123973217,-0.66411100643672,0.458854420223661,"Boxgrove"
"Iovita (33)","11","boxgrove",0.970526721359637,1.35263025527453,1.6761004605273,1.87301556035096,1.98192261438079,2.13785243694162,2.14725699064782,2.04171699905601,1.82610889742127,0.339957200638954,0.505175471304675,0.593647939503747,0.758866210169468,0.699071825494243,0.670277636369085,0.560209526326145,0.406950132595469,0.244170079557282,3.54470400802844,-0.718423464907375,0.298130759221541,-2.21220942174132,-1.48878435288061,"Boxgrove"
"Iovita (34)","11","boxgrove",1.22437435596345,1.50586776752996,1.73101602655426,1.86705762166131,1.90922935438878,1.91399255285111,1.86241059877124,1.64423287408205,1.23378457731586,0.503040227851004,0.560547136115727,0.603648273421205,0.682647662552541,0.800101166099276,0.765364669995939,0.605971784866244,0.426364350164708,0.253959800942793,2.60349457416651,0.124471550024503,-0.6251435770774,-1.19205883388171,1.06348789710753,"Boxgrove"
"Iovita (35)","11","boxgrove",1.02804140483725,1.36779548141454,1.63073177581997,1.78436734016371,1.87289068914272,1.94678207961281,1.88766896723674,1.67799300180381,1.22893819516482,0.343997344544886,0.476709208220858,0.636636514723436,0.748132038561464,0.831095243307083,0.808562027203335,0.736133832584143,0.546064691553175,0.28664006718989,2.84737912583729,0.156396602782739,-0.227385792724412,0.136048091683643,-0.28617040892526,"Boxgrove"
"Iovita (36)","11","boxgrove",1.08832475153565,1.29259278872883,1.57431172986204,1.80666444168212,1.84015672446699,1.73444670692723,1.7398543150852,1.56715973197568,1.11989820561931,0.467496447205568,0.708571107667544,0.812885613424608,0.83259721735529,0.794918399222304,0.654669465060634,0.568322173505874,0.446040453546507,0.287649866209695,3.01430545063889,0.203028201729671,-0.225236931597305,0.284108518182978,2.20389699631113,"Boxgrove"
"Iovita (37)","11","boxgrove",1.26741041195601,1.49647757042284,1.81655284024452,1.93372900628073,2.03788559831291,2.06121770618151,1.95719002082263,1.79579886584207,1.36112556345032,0.372153565837775,0.542181467929921,0.722908623906561,0.782721320321084,0.744178225002243,0.675084248109604,0.568736242631196,0.406700554284094,0.20070769033925,2.80500921116383,-0.227095907022603,-0.544440716201651,-2.16649576705579,1.51220114896386,"Boxgrove"
"Iovita (38)","11","boxgrove",0.898609229750777,1.27520045393038,1.58699756758899,1.83936735563844,1.96751570755775,1.93191167106944,1.77863105809957,1.62796838898914,1.28043634164925,0.410231802773334,0.534322341710513,0.66129261889307,0.7287046732735,0.765094092919635,0.781325344848126,0.690875384504676,0.518221986974993,0.340070907340498,2.75931282784361,0.235700691683109,-0.251443964989273,0.20683282074396,0.0219265038534674,"Boxgrove"
