assessment,knapper,width_0.1,width_0.2,width_0.3,width_0.4,width_0.5,width_0.6,width_0.7,width_0.8,width_0.9,thickness_0.1,thickness_0.2,thickness_0.3,thickness_0.4,thickness_0.5,thickness_0.6,thickness_0.7,thickness_0.8,thickness_0.9,max_length
6,11,35.5473,40.9448,50.56632,59.71032,63.89624,63.38062,66.3194,54.27472,47.26178,16.504,24.908,30.754,29.78,34.104,37.27,43.3,40.803,30.206,93.7768
7,11,24.08936,38.30066,48.95088,50.67554,53.64988,55.08244,51.22672,46.0121,35.25266,13.586,28.977,32.557,33.353,30.385,27.845,23.622,19.43,14.81,111.0742
8,11,24.45766,29.30398,34.66592,53.68798,61.03112,63.78448,71.13016,67.20078,60.99556,22.394,25.737,31.541,39.988,47.432,53.662,47.432,37.679,24.035,101.346
9,11,22.87778,30.07614,34.66592,44.14012,50.49266,58.8645,64.15278,60.00242,41.6433,12.29,16.631,20.544,23.234,23.296,21.95,22.929,21.033,15.225,112.5982
1,13,21.11502,30.03804,34.33572,39.36492,40.98036,47.48022,48.91278,41.71442,29.85516,16.877,22.667,28.087,32.276,34.74,35.479,35.356,33.2,26.086,73.66
2,13,45.75556,56.4769,62.5729,69.11086,84.82584,93.67774,80.71358,81.74228,57.72658,50.802,68.533,69.319,73.918,83.994,87.625,83.994,76.43,55.703,127.635
3,13,21.04136,32.4612,46.81982,53.54066,58.60796,64.11468,64.262,60.8838,51.7779,11.921,23.238,34.191,41.029,45.083,43.933,36.974,27.504,16.52,106.4514
4,13,36.28136,49.64684,56.40324,69.6976,77.70368,76.89596,76.52766,60.8838,48.10506,23.409,35.099,47.091,47.334,48.393,47.848,47.546,43.73,35.947,122.809
5,13,22.3266,36.72078,50.63998,63.89624,72.3773,78.54696,82.32902,79.79664,62.06744,14.264,22.342,27.387,32.913,37.387,39.88,39.52,30.15,19.97,105.1814
1,14,15.49654,20.2692,23.0251,27.68854,34.59226,41.49598,36.75888,26.76906,18.47088,9.738,10.796,12.476,14.779,18.357,15.836,13.69,12.041,9.116,68.4784
2,14,47.84852,58.38698,62.97676,63.45428,67.20078,72.0471,73.88352,69.99224,49.61128,10.984,15.134,19.528,20.077,20.565,22.518,23.311,23.189,18.673,107.442
4,14,27.68854,45.6438,57.43194,65.9511,72.19442,76.01458,73.37044,66.9798,49.20742,10.495,19.347,29.72,30.206,31.606,31.727,32.549,29.172,20.29,102.1588
5,14,36.57346,47.22368,55.70728,59.37758,68.88988,74.28738,75.1332,73.18502,59.8932,14.018,18.519,24.138,26.646,26.948,27.643,27.371,26.344,19.848,99.187
6,14,34.29762,46.3423,58.38698,66.46672,71.68134,81.74228,87.03056,83.35772,68.59524,16.33,20.951,24.321,29.88,29.115,27.587,31.825,32.903,22.514,164.7952
